-0.44	-0.44
-0.42	-0.42
-0.39	-0.39
-0.37	-0.37
-0.34	-0.34
-0.27	-0.27
-0.16	-0.16
-0.05	-0.05
-0.77	-0.76
-0.72	-0.72
-0.68	-0.67
-0.63	-0.63
-0.59	-0.58
-0.46	-0.46
-0.29	-0.28
-0.09	-0.09
-0.82	-0.82
-0.76	-0.76
-0.71	-0.71
-0.66	-0.65
-0.61	-0.60
-0.47	-0.46
-0.28	-0.28
-0.09	-0.09
-1.11	-1.12
-1.06	-1.06
-1.00	-1.01
-0.95	-0.95
-0.89	-0.90
-0.74	-0.74
-0.50	-0.50
-0.16	-0.17
-1.03	-1.02
-0.96	-0.96
-0.89	-0.89
-0.83	-0.83
-0.77	-0.76
-0.60	-0.59
-0.37	-0.37
-0.13	-0.13
-1.48	-1.46
-1.37	-1.36
-1.26	-1.25
-1.16	-1.15
-1.07	-1.06
-0.81	-0.80
-0.48	-0.47
-0.16	-0.15
-1.60	-1.60
-1.50	-1.50
-1.41	-1.41
-1.32	-1.32
-1.24	-1.24
-0.99	-1.00
-0.62	-0.62
-0.16	-0.16
-0.60	-0.60
-0.56	-0.56
-0.53	-0.53
-0.49	-0.49
-0.45	-0.45
-0.35	-0.35
-0.21	-0.21
-0.07	-0.07
-1.26	-1.25
-1.14	-1.13
-1.03	-1.02
-0.92	-0.91
-0.82	-0.81
-0.58	-0.57
-0.31	-0.30
-0.09	-0.08
-1.61	-1.60
-1.48	-1.47
-1.35	-1.34
-1.23	-1.22
-1.11	-1.10
-0.80	-0.79
-0.37	-0.36
-0.09	-0.09
-2.30	-2.26
-2.12	-2.09
-1.96	-1.92
-1.80	-1.76
-1.64	-1.61
-1.04	-1.01
-0.45	-0.43
-0.11	-0.11
-0.96	-0.95
-0.90	-0.90
-0.85	-0.85
-0.80	-0.79
-0.74	-0.74
-0.59	-0.58
-0.37	-0.36
-0.12	-0.12
-1.76	-1.73
-1.63	-1.60
-1.50	-1.47
-1.38	-1.35
-1.26	-1.24
-0.96	-0.94
-0.58	-0.57
-0.20	-0.20
-2.17	-2.14
-2.00	-1.97
-1.84	-1.81
-1.69	-1.66
-1.54	-1.51
-1.16	-1.13
-0.69	-0.67
-0.23	-0.22
-2.64	-2.61
-2.46	-2.42
-2.28	-2.25
-2.11	-2.08
-1.95	-1.92
-1.51	-1.50
-0.96	-0.95
-0.30	-0.30
-0.90	-0.89
-0.83	-0.82
-0.76	-0.75
-0.69	-0.69
-0.63	-0.63
-0.47	-0.47
-0.28	-0.28
-0.09	-0.09
-2.50	-2.56
-2.35	-2.41
-2.20	-2.26
-2.05	-2.11
-1.91	-1.97
-1.53	-1.58
-1.02	-1.07
-0.42	-0.45
-1.01	-1.01
-0.94	-0.95
-0.87	-0.88
-0.81	-0.81
-0.74	-0.75
-0.57	-0.58
-0.35	-0.36
-0.12	-0.12
-1.51	-1.52
-1.41	-1.41
-1.30	-1.31
-1.20	-1.21
-1.10	-1.11
-0.85	-0.86
-0.52	-0.53
-0.18	-0.19
-1.84	-1.85
-1.75	-1.76
-1.66	-1.68
-1.57	-1.59
